images/20210317_104146.jpg,156,272,266,374,Pipe
images/20210317_104146.jpg,263,274,363,379,Pipe
images/20210317_104146.jpg,368,274,463,372,Pipe
images/20210317_104146.jpg,473,276,573,379,Pipe
images/20210317_104146.jpg,575,274,673,376,Pipe
images/20210317_104146.jpg,675,269,778,384,Pipe
images/20210317_104146.jpg,775,274,878,384,Pipe
images/20210317_104146.jpg,878,274,980,386,Pipe
images/20210317_104146.jpg,980,286,1093,389,Pipe
images/20210317_104146.jpg,1088,284,1185,386,Pipe
images/20210317_104146.jpg,1190,284,1295,389,Pipe
images/20210317_104146.jpg,1290,286,1397,394,Pipe
images/20210317_104146.jpg,95,350,207,457,Pipe
images/20210317_104146.jpg,207,363,307,465,Pipe
images/20210317_104146.jpg,302,364,414,459,Pipe
images/20210317_104146.jpg,412,359,514,469,Pipe
images/20210317_104146.jpg,512,369,622,467,Pipe
images/20210317_104146.jpg,624,367,724,467,Pipe
images/20210317_104146.jpg,724,374,832,472,Pipe
images/20210317_104146.jpg,829,372,932,474,Pipe
images/20210317_104146.jpg,929,367,1032,467,Pipe
images/20210317_104146.jpg,1027,372,1134,474,Pipe
images/20210317_104146.jpg,1139,379,1234,474,Pipe
images/20210317_104146.jpg,1234,376,1341,476,Pipe
images/20210317_104146.jpg,1341,376,1441,474,Pipe
images/20210317_104146.jpg,144,450,253,545,Pipe
images/20210317_104146.jpg,258,454,363,552,Pipe
images/20210317_104146.jpg,366,454,468,550,Pipe
images/20210317_104146.jpg,468,452,566,552,Pipe
images/20210317_104146.jpg,571,452,671,557,Pipe
images/20210317_104146.jpg,673,450,773,559,Pipe
images/20210317_104146.jpg,773,452,871,557,Pipe
images/20210317_104146.jpg,875,454,980,554,Pipe
images/20210317_104146.jpg,985,457,1083,557,Pipe
images/20210317_104146.jpg,1088,459,1183,559,Pipe
images/20210317_104146.jpg,1190,462,1288,559,Pipe
images/20210317_104146.jpg,1295,464,1390,562,Pipe
images/20210317_104146.jpg,1390,461,1490,564,Pipe
images/20210317_104146.jpg,83,527,202,630,Pipe
images/20210317_104146.jpg,202,535,310,635,Pipe
images/20210317_104146.jpg,310,537,402,633,Pipe
images/20210317_104146.jpg,407,537,517,633,Pipe
images/20210317_104146.jpg,514,537,624,637,Pipe
images/20210317_104146.jpg,622,539,720,639,Pipe
images/20210317_104146.jpg,724,535,827,647,Pipe
images/20210317_104146.jpg,824,537,929,647,Pipe
images/20210317_104146.jpg,927,535,1029,645,Pipe
images/20210317_104146.jpg,1032,545,1132,647,Pipe
images/20210317_104146.jpg,1132,542,1236,645,Pipe
